epoch,dataset,metric,value
0,train,loss_lower,2.191165834665e-01
0,train,loss_upper,5.472438782454e-01
0,train,loss_value,1.021120011806e+00
0,train,loss_combined,1.787480413914e+00
0,train,mse_value,1.021120011806e+00
0,train,mae_value,8.229416012764e-01
0,train,mape_value,1.703544080257e+00
0,validation,loss_lower,9.083248972893e-01
0,validation,loss_upper,9.097017347813e-02
0,validation,loss_value,3.322859406471e-01
0,validation,loss_combined,1.331581011415e+00
0,validation,mse_value,9.083248972893e-01
0,validation,mae_value,7.602899670601e-01
0,validation,mape_value,3.807344198227e+00
1,train,loss_lower,9.749194234610e-02
1,train,loss_upper,2.943430691957e-01
1,train,loss_value,8.236848711967e-01
1,train,loss_combined,1.215519845486e+00
1,train,mse_value,8.236848711967e-01
1,train,mae_value,7.401852011681e-01
1,train,mape_value,1.761729180813e+00
1,validation,loss_lower,7.789406180382e-01
1,validation,loss_upper,5.945337563753e-02
1,validation,loss_value,1.951979547739e-01
1,validation,loss_combined,1.033591948450e+00
1,validation,mse_value,7.789406180382e-01
1,validation,mae_value,7.015460133553e-01
1,validation,mape_value,3.195814847946e+00
2,train,loss_lower,6.965463235974e-02
2,train,loss_upper,1.671968400478e-01
2,train,loss_value,7.500377595425e-01
2,train,loss_combined,9.868892431259e-01
2,train,mse_value,7.500377595425e-01
2,train,mae_value,7.098049819469e-01
2,train,mape_value,1.739666521549e+00
2,validation,loss_lower,7.590711116791e-01
2,validation,loss_upper,5.724569037557e-02
2,validation,loss_value,9.235953539610e-02
2,validation,loss_combined,9.086763374507e-01
2,validation,mse_value,7.590711116791e-01
2,validation,mae_value,6.923643946648e-01
2,validation,mape_value,3.789787769318e+00
3,train,loss_lower,6.471544876695e-02
3,train,loss_upper,8.554162457585e-02
3,train,loss_value,7.177391946316e-01
3,train,loss_combined,8.679962456226e-01
3,train,mse_value,7.177391946316e-01
3,train,mae_value,6.892093718052e-01
3,train,mape_value,1.756033778191e+00
3,validation,loss_lower,7.142301797867e-01
3,validation,loss_upper,6.192291527987e-02
3,validation,loss_value,7.321263104677e-02
3,validation,loss_combined,8.493657261133e-01
3,validation,mse_value,7.142301797867e-01
3,validation,mae_value,6.603499650955e-01
3,validation,mape_value,3.225211381912e+00
4,train,loss_lower,6.429965794086e-02
4,train,loss_upper,6.959904730320e-02
4,train,loss_value,6.879722177982e-01
4,train,loss_combined,8.218709230423e-01
4,train,mse_value,6.879722177982e-01
4,train,mae_value,6.666368246078e-01
4,train,mape_value,1.667170643806e+00
4,validation,loss_lower,7.179646492004e-01
4,validation,loss_upper,6.252550333738e-02
4,validation,loss_value,7.460413873196e-02
4,validation,loss_combined,8.550942912698e-01
4,validation,mse_value,7.179646492004e-01
4,validation,mae_value,6.583068370819e-01
4,validation,mape_value,3.481083869934e+00
5,train,loss_lower,6.132417172194e-02
5,train,loss_upper,7.083231583238e-02
5,train,loss_value,6.467958986759e-01
5,train,loss_combined,7.789523899555e-01
5,train,mse_value,6.467958986759e-01
5,train,mae_value,6.483428180218e-01
5,train,mape_value,1.657291889191e+00
5,validation,loss_lower,6.986286640167e-01
5,validation,loss_upper,5.910873413086e-02
5,validation,loss_value,7.792226225138e-02
5,validation,loss_combined,8.356596603990e-01
5,validation,mse_value,6.986286640167e-01
5,validation,mae_value,6.575284004211e-01
5,validation,mape_value,3.790053606033e+00
6,train,loss_lower,5.816477909684e-02
6,train,loss_upper,7.221530750394e-02
6,train,loss_value,6.241228282452e-01
6,train,loss_combined,7.545029222965e-01
6,train,mse_value,6.241228282452e-01
6,train,mae_value,6.369039714336e-01
6,train,mape_value,1.695836842060e+00
6,validation,loss_lower,6.710360050201e-01
6,validation,loss_upper,5.585906282067e-02
6,validation,loss_value,7.871390879154e-02
6,validation,loss_combined,8.056089766324e-01
6,validation,mse_value,6.710360050201e-01
6,validation,mae_value,6.363928914070e-01
6,validation,mape_value,3.426163434982e+00
7,train,loss_lower,5.572635494173e-02
7,train,loss_upper,7.204733043909e-02
7,train,loss_value,5.855509340763e-01
7,train,loss_combined,7.133246362209e-01
7,train,mse_value,5.855509340763e-01
7,train,mae_value,6.144353747368e-01
7,train,mape_value,1.759911775589e+00
7,validation,loss_lower,6.784677505493e-01
7,validation,loss_upper,5.315578728914e-02
7,validation,loss_value,7.724817097187e-02
7,validation,loss_combined,8.088717088103e-01
7,validation,mse_value,6.784677505493e-01
7,validation,mae_value,6.416954994202e-01
7,validation,mape_value,3.978165864944e+00
8,train,loss_lower,5.346198193729e-02
8,train,loss_upper,6.961053982377e-02
8,train,loss_value,5.779009163380e-01
8,train,loss_combined,7.009734213352e-01
8,train,mse_value,5.779009163380e-01
8,train,mae_value,6.068065464497e-01
8,train,mape_value,1.741957724094e+00
8,validation,loss_lower,6.354814767838e-01
8,validation,loss_upper,5.035873502493e-02
8,validation,loss_value,7.302864640951e-02
8,validation,loss_combined,7.588688582182e-01
8,validation,mse_value,6.354814767838e-01
8,validation,mae_value,6.142092943192e-01
8,validation,mape_value,2.914786815643e+00
9,train,loss_lower,5.131966620684e-02
9,train,loss_upper,6.541706621647e-02
9,train,loss_value,5.447791963816e-01
9,train,loss_combined,6.615159213543e-01
9,train,mse_value,5.447791963816e-01
9,train,mae_value,5.895558893681e-01
9,train,mape_value,1.707362830639e+00
9,validation,loss_lower,6.347416639328e-01
9,validation,loss_upper,4.696607217193e-02
9,validation,loss_value,6.665722280741e-02
9,validation,loss_combined,7.483649589121e-01
9,validation,mse_value,6.347416639328e-01
9,validation,mae_value,6.205146908760e-01
9,validation,mape_value,3.421558380127e+00
